Country,Year,Population,GDP
India,2020,1380000000,2.9
India,2021,1393000000,3.1
India,2022,1407000000,3.4
India,2023,1420000000,3.7
India,2024,1432000000,4.0
USA,2020,331000000,21.0
USA,2021,332000000,22.5
USA,2022,333000000,23.0
USA,2023,334000000,24.0
USA,2024,335000000,25.0
China,2020,1440000000,14.7
China,2021,1445000000,16.0
China,2022,1450000000,17.7
China,2023,1452000000,18.0
China,2024,1453000000,19.0
Brazil,2020,213000000,1.4
Brazil,2021,214000000,1.6
Brazil,2022,215000000,1.8
Brazil,2023,216000000,2.0
Brazil,2024,217000000,2.2
Germany,2020,83000000,3.8
Germany,2021,83200000,4.2
Germany,2022,83400000,4.5
Germany,2023,83600000,4.8
Germany,2024,83800000,5.0
